"rules","support","confidence","coverage","lift","count"
"{duracion_cat=media,vistas_cat=medias,suscriptores_cat=pocos} => {impresiones=[4.18e+03,2.68e+05]}",0.114285714285714,1,0.114285714285714,2.91666666666667,4
"{duracion_cat=media,suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.114285714285714,0.8,0.142857142857143,2.54545454545455,4
"{duracion_cat=media,vistas_cat=medias,impresiones=[4.18e+03,2.68e+05]} => {suscriptores_cat=pocos}",0.114285714285714,0.8,0.142857142857143,2.8,4
"{vistas_cat=medias,suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {duracion_cat=media}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
"{vistas_cat=medias,suscriptores_cat=pocos,mayor_5_min} => {impresiones=[4.18e+03,2.68e+05]}",0.114285714285714,1,0.114285714285714,2.91666666666667,4
"{suscriptores_cat=pocos,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.114285714285714,0.8,0.142857142857143,2.54545454545455,4
"{vistas_cat=medias,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {suscriptores_cat=pocos}",0.114285714285714,0.8,0.142857142857143,2.8,4
"{vistas_cat=medias,suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
"{duracion_cat=media,vistas_cat=medias,suscriptores_cat=pocos,mayor_5_min} => {impresiones=[4.18e+03,2.68e+05]}",0.114285714285714,1,0.114285714285714,2.91666666666667,4
"{duracion_cat=media,suscriptores_cat=pocos,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {vistas_cat=medias}",0.114285714285714,0.8,0.142857142857143,2.54545454545455,4
"{duracion_cat=media,vistas_cat=medias,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {suscriptores_cat=pocos}",0.114285714285714,0.8,0.142857142857143,2.8,4
"{duracion_cat=media,vistas_cat=medias,suscriptores_cat=pocos,impresiones=[4.18e+03,2.68e+05]} => {mayor_5_min}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
"{vistas_cat=medias,suscriptores_cat=pocos,mayor_5_min,impresiones=[4.18e+03,2.68e+05]} => {duracion_cat=media}",0.114285714285714,1,0.114285714285714,3.88888888888889,4
