video_id,duracion_segundos,mayor_5_min,promedio_tiempo_reproducido,categoria,tags,fecha_publicacion,impresiones,tasa_de_clicks,vistas,suscriptores,Impresiones_promedio, promedio_vistas ,promedio_suscriptores,popularidad
9gmTfQtWPJM,52,FALSE,23,Would You Rather,wouldyourather  ;SpaceEdition ;Shorts ;FunChallengeyourather ;wouldyourather ;wouldyourathergame ;quiz ;trivia ;choose ;red ;blue ;challenge ;toughchoices ;choices ;funchallenge,21-Jul-24,487,4.31,469,4,2577,267,1.23,TRUE
wic0IkHb6VE,41,FALSE,20,Sports Quiz,euros ;copa ;europeanchampionship ;football ;quiz ;uefa,6-Jul-24,471,3.18,460,2,2577,267,1.23,TRUE
qve0bhKccpo,40,FALSE,16,Sports Quiz,euros ;copa ;europeanchampionship ;football ;quiz ;uefa,9-Jul-24,457,2.84,446,2,2577,267,1.23,TRUE
wV0mpy-nLUU,48,FALSE,16,Sports Quiz,,10-Jul-24,537,2.23,423,1,2577,267,1.23,FALSE
yN1uoxZQVaU,407,TRUE,109,Would You Rather,WouldYouRather ;FantasyEdition ;Magic ;Adventure ;QuizTime,7-Aug-24,10523,3.05,394,0,2577,267,1.23,FALSE
jMFoaRWq69Q,399,TRUE,79,Would You Rather,WouldYouRather ;Disney ;DisneyWorld  ;Disneyland ;DisneyParks ;MagicKingdom ;QuizTime,22-Aug-24,5373,2.61,278,1,2577,267,1.23,FALSE
dX356EC2A5c,36,FALSE,19,Entertainment Quiz,,11-Jul-24,447,3.8,270,0,2577,267,1.23,FALSE
RfK1eP5MYS4,443,TRUE,136,Would You Rather,wouldyourather ;summerquiz ;vacation ;travel ;summervibes ;fun ;quiztime,26-Jul-24,11094,1.66,251,1,2577,267,1.23,FALSE
cwCilNVm9xM,302,TRUE,101,Nature Quiz,"quizgames, ;flowerquiz, ;quizforkids, ;flowersname,  ;kidslearningvideos, ;naturefun, ;kidsandnature",3-Jul-24,4541,3.19,235,1,2577,267,1.23,FALSE
OnMe42DH1Hg,265,FALSE,105,Nature Quiz,watercycle ;sciencequiz ;quizforkids ;earthscience ;kidslearningvideos ;sciencefunfacts,11-Jul-24,2707,3.99,212,2,2577,267,1.23,FALSE
N8slYIa5RvM,260,FALSE,89,Trivia Facts Quiz,planetquiz ;sciencequiz ;quizforkids ;solarsystem ;kidslearningvideos ;spacefun,18-Jul-24,6190,1.62,163,3,2577,267,1.23,FALSE
SNreqswmZMc,305,TRUE,60,Animals Quiz,BirdQuiz ;NatureSounds ;BirdWatching ;CalmingNature ;CuteBirds ;Relaxation ;BirdIdentification ;NatureLovers ;QuizTime ;factsquiz ;birds ;eduactionquiz,20-Sep-24,4549,2.4,161,1,2577,267,1.23,FALSE
pYJs4-WVFnU,207,FALSE,58,Trivia Facts Quiz,flags ;flagsquizeasy ;flagsquizchallenge ;quizforkids ;learnwithfun,5-Jun-24,2043,3.96,153,2,2577,267,1.23,FALSE
CIWCru78WiY,219,FALSE,57,Animals Quiz,quizgames   ;animalquiz  ;quizforkids ;animalfacts ;kidslearningvideos ;funanimalfacts,22-May-24,777,5.79,145,8,2577,267,1.23,FALSE
ZD3y4s0dIvo,198,FALSE,52,Trivia Facts Quiz, ;quizgames ;olympicsquiz ;quizforkids ;olympicgames ;kidslearningvideos ;funfacts,1-Aug-24,1733,4.39,134,4,2577,267,1.23,FALSE
8If3ForRc5M,206,FALSE,27,Trivia Facts Quiz,flags ;flagsquizeasy ;flagsquizchallenge ;quizforkids ;learnwithfun ;africanflags,11-Jun-24,1708,4.8,114,1,2577,267,1.23,FALSE
awfFDzfLjiU,216,FALSE,40,Trivia Facts Quiz,quizgames   ;capitalsquiz  ;quizforkids ;countryfacts ;kidslearningvideos ;funcapitalsfacts,22-May-24,986,6.29,101,0,2577,267,1.23,FALSE
KQCPikSx6dc,195,FALSE,55,Trivia Facts Quiz,quizgames ;womeninhistory ;achievegreatness ;achievements  ;quizforkids ;theQuizChallengeforKids ;kidslearningvideos ;funfacts,27-Jun-24,2422,2.39,100,1,2577,267,1.23,FALSE
Bw-ynQMMN7g,442,TRUE,104,Entertainment Quiz,"ScaryMovies ;HorrorChallenge ;GuessTheMovie ;MovieTrivia ;HalloweenFun ;halloween ;halloween2024, ;moviechallange",3-Oct-24,3450,1.74,88,0,2577,267,1.23,FALSE
0-pH13n590k,51,FALSE,16,Would You Rather,TaylorSwift ;WouldYouRather ;Swifties,11-Aug-24,540,2.41,83,0,2577,267,1.23,FALSE
2eNWSMedga0,245,FALSE,72,Holidays,"SpookyChoices, ;HorrorHouse, ;HalloweenFun, ;halloween quiz, ;quiz, ;would you rather ;build your dream house, ;Halloween Decor, ;would you rather, ;would you rather halloween questions, ;daily quiz, ;would you rather hardest choices ever, ;quiz game, ;would you rather brain break, ;Scary Choices, ;pick one kick one, Halloween, ;Halloween Games, ;Haunted House, ;Trick or Treat, ;Halloween Ideas, ;Halloween 2023, ;Party Games",27-Oct-24,1184,4.14,72,0,2577,267,1.23,FALSE
NsTkNf5WT_8,36,FALSE,19,Sports Quiz,quiz ;mlb ;mlballstargame  ;shoheiohtani  ;bryceharper ;aaronjudge   ;baseball ;allstargame,10-Jul-24,673,2.53,63,0,2577,267,1.23,FALSE
7rijZHQNbq0,29,FALSE,20,Trivia Facts Quiz,quiz ;quizgame ;olympicsquiz ;quizforkids ;olympicgames ;kidslearningvideos ;funfacts ;shortquiz,2-Jul-24,366,6.01,54,1,2577,267,1.23,FALSE
vA-UdP3913k,54,FALSE,20,Trivia Facts Quiz,,16-Aug-24,441,2.04,43,0,2577,267,1.23,FALSE
_ESSB71MDag,24,FALSE,18,Trivia Facts Quiz,,18-Jul-24,473,1.27,38,0,2577,267,1.23,FALSE
